838,394,113,325,680,749,716,757,338,384
501,848,769,396,23.4,532,722,747,636,670
16.6,636,871,754,540,1047,1238,1263,994,1028
765,730,429,22.8,437,440,508,557,233,267
1080,718,417,337,751,557,449,492,102,113
1033,804,502,291,704,488,346,387,61.4,17.8
1000,777,476,257,671,477,352,393,28,21.7
1293,1153,852,551,756,247,73.7,33.2,403,363
1238,1171,904,569,722,213,69.4,4.3,421,381
1129,1184,883,575,647,139,59,79.2,434,394
1024,1024,497,282,696,501,370,411,52.2,31.7
1022,1022,539,280,694,463,322,266,57,16.4
456,268,439,586,603,1011,1028,1075,741,787
