837,384,758,21.7,723,375,335,418,,,,,,,,,,,,,
499,670,747,686,716,557,627,583,,,,,,,,,,,,,
21.5,1028,1262,776,1232,914,985,408,,,,,,,,,,,,,
763,267,558,287,511,153,224,581,,,,,,,,,,,,,
1078,114,491,351,461,181,106,774,,,,,,,,,,,,,
1031,18.2,388,377,358,134,71.5,800,,,,,,,,,,,,,
998,22.7,396,349,363,101,35.9,771,,,,,,,,,,,,,
1291,361,34.2,726,85.1,394,407,1064,,,,,,,,,,,,,
1235,380,4.4,743,80.7,413,425,1083,,,,,,,,,,,,,
1128,393,78.5,756,57.2,419,438,1089,,,,,,,,,,,,,
1022,32.1,412,361,381,125,57.1,785,,,,,,,,,,,,,
1021,16.2,366,379,333,124,61,794,,,,,,,,,,,,,
424,787,1077,425,1031,671,738,2.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UP,9,16,18,11,15,17,12,14,10,13,,BNSF,2,3,4,5,7,8,6,1
19,838,394,113,325,680,749,716,757,338,384,,19,837,384,758,21.7,723,375,335,418
20,501,848,769,396,23.4,532,722,747,636,670,,20,499,670,747,686,716,557,627,583
21,16.6,636,871,754,540,1047,1238,1263,994,1028,,21,21.5,1028,1262,776,1232,914,985,408
22,765,730,429,22.8,437,440,508,557,233,267,,22,763,267,558,287,511,153,224,581
23,1080,718,417,337,751,557,449,492,102,113,,23,1078,114,491,351,461,181,106,774
24,1033,804,502,291,704,488,346,387,61.4,17.8,,24,1031,18.2,388,377,358,134,71.5,800
25,1000,777,476,257,671,477,352,393,28,21.7,,25,998,22.7,396,349,363,101,35.9,771
26,1293,1153,852,551,756,247,73.7,33.2,403,363,,26,1291,361,34.2,726,85.1,394,407,1064
27,1238,1171,904,569,722,213,69.4,4.3,421,381,,27,1235,380,4.4,743,80.7,413,425,1083
28,1129,1184,883,575,647,139,59,79.2,434,394,,28,1128,393,78.5,756,57.2,419,438,1089
29,1024,1024,497,282,696,501,370,411,52.2,31.7,,29,1022,32.1,412,361,381,125,57.1,785
30,1022,1022,539,280,694,463,322,266,57,16.4,,30,1021,16.2,366,379,333,124,61,794
31,456,268,439,586,603,1011,1028,1075,741,787,,31,424,787,1077,425,1031,671,738,2.7
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Source,Target,Weight,,,,,,,,,,,,,,,,,,
19,9,838,,,,,,,,,,,,,,,,,,
20,9,501,,,,,,,,,,,,,,,,,,
21,9,16.6,,,,,,,,,,,,,,,,,,
22,9,765,,,,,,,,,,,,,,,,,,
23,9,1080,,,,,,,,,,,,,,,,,,
24,9,1033,,,,,,,,,,,,,,,,,,
25,9,1000,,,,,,,,,,,,,,,,,,
26,9,1293,,,,,,,,,,,,,,,,,,
27,9,1238,,,,,,,,,,,,,,,,,,
28,9,1129,,,,,,,,,,,,,,,,,,
29,9,1024,,,,,,,,,,,,,,,,,,
30,9,1022,,,,,,,,,,,,,,,,,,
31,9,456,,,,,,,,,,,,,,,,,,
19,16,394,,,,,,,,,,,,,,,,,,
20,16,848,,,,,,,,,,,,,,,,,,
21,16,636,,,,,,,,,,,,,,,,,,
22,16,730,,,,,,,,,,,,,,,,,,
23,16,718,,,,,,,,,,,,,,,,,,
24,16,804,,,,,,,,,,,,,,,,,,
25,16,777,,,,,,,,,,,,,,,,,,
26,16,1153,,,,,,,,,,,,,,,,,,
27,16,1171,,,,,,,,,,,,,,,,,,
28,16,1184,,,,,,,,,,,,,,,,,,
29,16,1024,,,,,,,,,,,,,,,,,,
30,16,1022,,,,,,,,,,,,,,,,,,
31,16,268,,,,,,,,,,,,,,,,,,
19,18,113,,,,,,,,,,,,,,,,,,
20,18,769,,,,,,,,,,,,,,,,,,
21,18,871,,,,,,,,,,,,,,,,,,
22,18,429,,,,,,,,,,,,,,,,,,
23,18,417,,,,,,,,,,,,,,,,,,
24,18,502,,,,,,,,,,,,,,,,,,
25,18,476,,,,,,,,,,,,,,,,,,
26,18,852,,,,,,,,,,,,,,,,,,
27,18,904,,,,,,,,,,,,,,,,,,
28,18,883,,,,,,,,,,,,,,,,,,
29,18,497,,,,,,,,,,,,,,,,,,
30,18,539,,,,,,,,,,,,,,,,,,
31,18,439,,,,,,,,,,,,,,,,,,
19,11,325,,,,,,,,,,,,,,,,,,
20,11,396,,,,,,,,,,,,,,,,,,
21,11,754,,,,,,,,,,,,,,,,,,
22,11,22.8,,,,,,,,,,,,,,,,,,
23,11,337,,,,,,,,,,,,,,,,,,
24,11,291,,,,,,,,,,,,,,,,,,
25,11,257,,,,,,,,,,,,,,,,,,
26,11,551,,,,,,,,,,,,,,,,,,
27,11,569,,,,,,,,,,,,,,,,,,
28,11,575,,,,,,,,,,,,,,,,,,
29,11,282,,,,,,,,,,,,,,,,,,
30,11,280,,,,,,,,,,,,,,,,,,
31,11,586,,,,,,,,,,,,,,,,,,
19,15,680,,,,,,,,,,,,,,,,,,
20,15,23.4,,,,,,,,,,,,,,,,,,
21,15,540,,,,,,,,,,,,,,,,,,
22,15,437,,,,,,,,,,,,,,,,,,
23,15,751,,,,,,,,,,,,,,,,,,
24,15,704,,,,,,,,,,,,,,,,,,
25,15,671,,,,,,,,,,,,,,,,,,
26,15,756,,,,,,,,,,,,,,,,,,
27,15,722,,,,,,,,,,,,,,,,,,
28,15,647,,,,,,,,,,,,,,,,,,
29,15,696,,,,,,,,,,,,,,,,,,
30,15,694,,,,,,,,,,,,,,,,,,
31,15,603,,,,,,,,,,,,,,,,,,
19,17,749,,,,,,,,,,,,,,,,,,
20,17,532,,,,,,,,,,,,,,,,,,
21,17,1047,,,,,,,,,,,,,,,,,,
22,17,440,,,,,,,,,,,,,,,,,,
23,17,557,,,,,,,,,,,,,,,,,,
24,17,488,,,,,,,,,,,,,,,,,,
25,17,477,,,,,,,,,,,,,,,,,,
26,17,247,,,,,,,,,,,,,,,,,,
27,17,213,,,,,,,,,,,,,,,,,,
28,17,139,,,,,,,,,,,,,,,,,,
29,17,501,,,,,,,,,,,,,,,,,,
30,17,463,,,,,,,,,,,,,,,,,,
31,17,1011,,,,,,,,,,,,,,,,,,
19,12,716,,,,,,,,,,,,,,,,,,
20,12,722,,,,,,,,,,,,,,,,,,
21,12,1238,,,,,,,,,,,,,,,,,,
22,12,508,,,,,,,,,,,,,,,,,,
23,12,449,,,,,,,,,,,,,,,,,,
24,12,346,,,,,,,,,,,,,,,,,,
25,12,352,,,,,,,,,,,,,,,,,,
26,12,73.7,,,,,,,,,,,,,,,,,,
27,12,69.4,,,,,,,,,,,,,,,,,,
28,12,59,,,,,,,,,,,,,,,,,,
29,12,370,,,,,,,,,,,,,,,,,,
30,12,322,,,,,,,,,,,,,,,,,,
31,12,1028,,,,,,,,,,,,,,,,,,
19,14,757,,,,,,,,,,,,,,,,,,
20,14,747,,,,,,,,,,,,,,,,,,
21,14,1263,,,,,,,,,,,,,,,,,,
